node_1|node_2|edge|chunk_id
antibiotic abx|clinical trial|is part of|85e95b22143c4820b04e37c16c0f604d
antibiotic abx|safety profile|evaluates|85e95b22143c4820b04e37c16c0f604d
antibiotic abx|tolerability profile|evaluates|85e95b22143c4820b04e37c16c0f604d
antibiotic abx|efficacy profile|evaluates|85e95b22143c4820b04e37c16c0f604d
antibiotic abx|synucleinopathies|is used for treating|85e95b22143c4820b04e37c16c0f604d
dementia with lewy bodies (dlb)|synucleinopathies|is a type of|85e95b22143c4820b04e37c16c0f604d
clinical outcome measures|treatment efficacy|measures|85e95b22143c4820b04e37c16c0f604d
digital cerebrospinal fluid (csf) biomarkers|treatment efficacy|measures|85e95b22143c4820b04e37c16c0f604d
traditional cerebrospinal fluid (csf) biomarkers|treatment efficacy|measures|85e95b22143c4820b04e37c16c0f604d
antibiotic abx|patients with dlb|is tested on|85e95b22143c4820b04e37c16c0f604d
antiparkinsonian medications|dosage|are prescribed in|a55eeeea608f450d9345da5c3d3ca956
dementia medications|dosage|are prescribed in|a55eeeea608f450d9345da5c3d3ca956
informed consent capacity|participant|is required from|a55eeeea608f450d9345da5c3d3ca956
caregiver|participant|has contact with|a55eeeea608f450d9345da5c3d3ca956
caregiver|frequency of contact|contacts|a55eeeea608f450d9345da5c3d3ca956
exclusion criteria|psychiatric disorders|includes|a55eeeea608f450d9345da5c3d3ca956
exclusion criteria|medical conditions|includes|a55eeeea608f450d9345da5c3d3ca956
exclusion criteria|surgical conditions|includes|a55eeeea608f450d9345da5c3d3ca956
major cardiovascular events|initial visit|occurred prior to|a55eeeea608f450d9345da5c3d3ca956
advanced malignancy|exclusion criteria|is part of|a55eeeea608f450d9345da5c3d3ca956
sensitivity to antibiotics|exclusion criteria|is part of|a55eeeea608f450d9345da5c3d3ca956
aneed study|clinical trial|is an|e85e7c453a154750ac5fceda136f3519
abx|mechanism of action|has unique mechanism on|e85e7c453a154750ac5fceda136f3519
abx|lysosomal alpha-synuclein clearance|enhances|e85e7c453a154750ac5fceda136f3519
abx|dementia with lewy bodies (dlb)|is a modifying treatment in|e85e7c453a154750ac5fceda136f3519
rationale for treatment|abx|is based on|e85e7c453a154750ac5fceda136f3519
gcase activity|alpha-synuclein metabolism|is associated with|e85e7c453a154750ac5fceda136f3519
chaperone-mediated autophagy (cma)|pathological alpha-synuclein|may reduce|e85e7c453a154750ac5fceda136f3519
preclinical evidence|clinical evidence|supports|e85e7c453a154750ac5fceda136f3519
abx|treatment rationale|is established by|e85e7c453a154750ac5fceda136f3519
cma|enhancement of clearance|may lead to|e85e7c453a154750ac5fceda136f3519
degradation pathways|ambroxol (abx)|may affect|be3044184cfa41b3879a826ed83df54b
ambroxol (abx)|dementia with lewy bodies (dlb)|is a modifying drug for|be3044184cfa41b3879a826ed83df54b
ambroxol in new and early dementia with lewy bodies (aneed)|clinical study|is a|be3044184cfa41b3879a826ed83df54b
aneed|tolerability|investigates|be3044184cfa41b3879a826ed83df54b
aneed|safety|investigates|be3044184cfa41b3879a826ed83df54b
aneed|effects|investigates|be3044184cfa41b3879a826ed83df54b
patients|dementia with lewy bodies (dlb)|have|be3044184cfa41b3879a826ed83df54b
ambroxol (abx)|patients|is administered to|be3044184cfa41b3879a826ed83df54b
dementia with lewy bodies (dlb)|dementia|is a type of|be3044184cfa41b3879a826ed83df54b
ambroxol (abx)|modifying drug|is a type of|be3044184cfa41b3879a826ed83df54b
gba gene mutations|parkinson's disease (pd)|are associated with a higher incidence in|38d7ac2f9f054974a2e35123ee3bd298
gba gene mutations|dementia with lewy bodies (dlb)|are more prevalent in|38d7ac2f9f054974a2e35123ee3bd298
