,node_1,node_2,edge,chunk_id
0,material properties,mechanical properties,Mechanical properties are a subset of material properties that describe how materials respond to forces.,727aa210b89e4832ba3eb1c54223513e
1,material properties,thermal properties,Thermal properties are another subset of material properties that indicate how materials conduct heat.,727aa210b89e4832ba3eb1c54223513e
2,material properties,electrical properties,Electrical properties define how materials conduct electricity and are part of the broader category of material properties.,727aa210b89e4832ba3eb1c54223513e
3,materials science,material characterization,Material characterization is a key process in materials science for understanding the properties and structure of materials.,727aa210b89e4832ba3eb1c54223513e
4,materials science,materials engineering,Materials engineering applies principles of materials science to design and develop new materials.,727aa210b89e4832ba3eb1c54223513e
5,materials science,metallurgy,Metallurgy is a subfield of materials science focused on the properties and applications of metals.,10afa8d0b52143648c29e82dd9311a71
6,materials science,polymer science,"Polymer Science is a subfield of materials science that studies the synthesis, characterization, and applications of polymers.",10afa8d0b52143648c29e82dd9311a71
7,materials science,ceramics,"Ceramics is a branch of materials science that deals with the study of inorganic, non-metallic materials.",10afa8d0b52143648c29e82dd9311a71
8,materials science,nanomaterials,"Nanomaterials are materials with structural components smaller than 100 nanometers, studied within materials science.",10afa8d0b52143648c29e82dd9311a71
9,materials science,composite materials,Composite Materials are made from two or more constituent materials with significantly different physical or chemical properties.,10afa8d0b52143648c29e82dd9311a71
10,assay pipeline,preclinical discovery,is used for,3946a6404b2b4560a27cd78b8474a899
11,glucocerebrosidase modulators,assay pipeline,is the focus of,3946a6404b2b4560a27cd78b8474a899
12,compound libraries,bioactive compounds,are enriched with,3946a6404b2b4560a27cd78b8474a899
13,bioactive compounds,mechanisms of action,have,3946a6404b2b4560a27cd78b8474a899
14,screening process,small molecules,identified,3946a6404b2b4560a27cd78b8474a899
15,small molecules,glucocerebrosidase,are relevant to,3946a6404b2b4560a27cd78b8474a899
16,target atlas,molecular targets,provides,3946a6404b2b4560a27cd78b8474a899
17,molecular targets,gba1 pathway,regulate,3946a6404b2b4560a27cd78b8474a899
18,output set,potential therapeutics,produced a,3946a6404b2b4560a27cd78b8474a899
19,potential therapeutics,glucocerebrosidase modulators,may include,3946a6404b2b4560a27cd78b8474a899
20,gaucher disease,glucocerebrosidase,is caused by deficiency of,e6c37fd7b9734096b7a545e2dc728b2b
21,glucocerebrosidase,gba1 gene,is encoded by gene,e6c37fd7b9734096b7a545e2dc728b2b
22,gba1 gene,biallelic loss-of-function mutations,is affected by,e6c37fd7b9734096b7a545e2dc728b2b
23,gba1 gene,parkinson's disease,is a genetic risk factor for,e6c37fd7b9734096b7a545e2dc728b2b
24,small-molecule stabilizers,glucocerebrosidase,are developed for,e6c37fd7b9734096b7a545e2dc728b2b
25,discovery and optimization,lead compounds,is limited by,e6c37fd7b9734096b7a545e2dc728b2b
26,cell-based assays,high-throughput screening,are amenable to,e6c37fd7b9734096b7a545e2dc728b2b
27,gaucher disease,related disorders,is related to,e6c37fd7b9734096b7a545e2dc728b2b
