,nodes
0,716 compounds
1,ambroxol
2,assay pipeline
3,bioactive compounds
4,biological modulators
5,cag promoter
6,cell-based assay platform
7,cell-based assays
8,cellular systems
9,combination therapy
10,combinatorial matrix screening
11,compound identification
12,compound libraries
13,compound ncgc326
14,data analysis
15,discovery and optimization
16,droplet digital pcr (ddpcr) method
17,drug discovery pipeline
18,experimental procedures
19,experimental techniques
20,final hit compounds
21,gaucher disease
22,gaucher disease (gd)
23,gaucher disease cell model
24,gba1
25,gba1 gene
26,gba1 knockout h4
27,gba1 knockout h4 cell line
28,gba1 knockout h4 clone
29,gba1 molecular target
30,gba1-knockout h4 cells
31,gcase
32,gcase activity
33,gcase activity deficiencies
34,gcase enhancers
35,gcase enzyme
36,gcase maturation
37,gcase trafficking
38,gcase-l444p variant
39,glucer accumulation
40,glucocerebrosidase
41,glucocerebrosidase (gcase)
42,glucocerebrosidase modulators
43,gsk-3 inhibitors
44,hgcase-1/23
45,hibit peptide reporter tag
46,hibit reporter
47,hibit tag
48,hibit-gba1 transgene
49,hibit-gba1-wt protein
50,hibit-gcase h4 cell lines
51,hibit-gcase-l444p
52,hibit-gcase-l444p assay
53,hibit-gcase-l444p variant
54,hibit-tagged gcase
55,hibit-tagged gcase expression
56,high levels of untagged gcase
57,high-throughput assays
58,high-throughput screening (hts)
59,hit compounds
60,human glucocerebrosidase (gcase)
61,immunofluorescence assay
62,integrated approach
63,integrative gene transfer method
64,intron
65,l444p variant of gcase
66,lead optimization
67,lysofix-gba
68,lysosomal activity
69,lysosomal translocation
70,material properties
71,materials science
72,mechanical testing
73,moderate expression
74,molecular identification
75,molecular targets
76,monoclonal human gcase antibody
77,mutations
78,n-terminal hibit tag
79,n-terminal region
80,ncats bioactive compounds
81,ncgc326
82,neuronopathic gaucher disease
83,novel chemical entities
84,output set
85,panobinostat
86,parkinson's disease (pd)
87,pharmacological agents
88,pharmacological validation
89,physiologically relevant
90,physiologically relevant assays
91,pladienolide b
92,potent compounds
93,potential therapeutics
94,primary screening
95,primary screening assay
96,proteasome inhibitors
97,protein stabilization
98,quantitative assays
99,reporter protein
100,results
101,robust cell-based assays
102,screening hits
103,screening process
104,small molecules
105,small-molecule gcase enhancers
106,small-molecule stabilizers
107,synthesis methods
108,talen gene editing
109,target atlas
110,therapeutic intervention
111,therapeutic target
112,thermal analysis
113,titration-based quantitative high-throughput screening
114,trans-isrib
115,transcription activator-like effector nucleases (talens)
116,transgene
117,transgene cassette
118,translational assays
119,ultrahigh-throughput screening format
120,untagged gcase
121,viability
122,pharmacological chaperones
123,preclinical discovery
124,mechanisms of action
125,cellular regulation
126,quantitative high-throughput screening (qhts)
127,high-throughput screening
128,target biology
129,synergistic effects
130,synergistic interactions
131,glucosylsphingosine accumulation
132,proteostasis regulators
133,statistical methods
134,lead compounds
135,multilevel approach
136,characterization methods
137,epigenetic mechanisms
138,monogenic disorder
139,related disorders
140,treatment
141,lead discovery
142,biallelic loss-of-function mutations
143,gba1-related parkinson's disease (gba1-pd)
144,parkinson's disease
145,human neuroglioma cell line
146,single copy
147,scientific knowledge
148,lysosomal localization
149,protein misfolding
150,trafficking obstruction
151,functional lysosomal activity
152,related diseases
153,therapeutic agents
154,gcase function
155,overexpression
156,enzyme levels
157,protein levels
158,h4 cell model
159,therapeutic applications
160,monoclonal antibody
161,gcase variants
162,11-amino acid peptide tag
163,luminescence-based high-throughput screening (qhts)
164,intragenic safe-harbor locus
165,stabilizers
166,drug development
167,protein complexes (pcs)
168,protein residues (prs)
169,dose-dependent response
170,endogenous gcase
171,clear lysosomal localization
172,140 confirmed hits
173,hibit
174,rational drug development
175,citrate lyase beta-like (clybl) gene
176,pathogenic variant
177,structure–activity relationships
178,fluorescence-quenched substrates
179,electrical properties
180,mechanical properties
181,thermal properties
182,ceramics
183,composite materials
184,conclusion
185,material characterization
186,materials engineering
187,metallurgy
188,nanomaterials
189,polymer science
190,material strength
191,gba1 pathway
192,chemical libraries
193,noninhibitory chaperones
194,pharmacological compound (pc)
195,gba1-related parkinson's disease
196,combinations
197,medicinal chemistry optimization
198,mechanism of action
199,screening methods
200,"10,779 compounds"
201,correctors of protein misfolding
202,localization
203,findings
204,subsequent investigation
205,validation assays
206,development process
207,efficacy
208,patients
209,phase transitions
210,gene editing
211,gba1 signal peptide
212,global gene expression
213,glycine/serine linker
214,hibit peptide tag
215,local gene expression
216,drug discovery
217,"1,536-well plate"
218,endoplasmic reticulum accumulation
